id_actv,nombre_actv,descripcion,fecha_inicio,fecha_fin,id_equipo_soporte,id_empleado,id_estado,id_orden
46,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-02-21,2022-02-23,0,616,2,46
47,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-02-22,2022-02-23,0,405,6,47
48,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-02-22,2022-02-23,0,27,7,48
49,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-02-24,2022-02-26,0,225,3,49
50,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-02-25,2022-02-27,0,713,2,50
51,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-02-25,2022-02-27,0,909,5,51
52,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-02-27,2022-02-28,0,476,3,52
53,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-02-28,2022-03-01,0,282,3,53
54,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-02-28,2022-03-01,0,60,3,54
55,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-03-02,2022-03-04,0,315,7,55
56,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-03-03,2022-03-04,0,817,3,56
57,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-03-03,2022-03-05,0,624,5,57
58,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-03-05,2022-03-05,0,361,3,58
59,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-03-06,2022-03-07,0,632,4,59
60,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-03-06,2022-03-07,0,580,1,60
61,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-03-08,2022-03-09,0,771,4,61
62,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-03-09,2022-03-11,0,802,5,62
63,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-03-09,2022-03-10,0,425,2,63
64,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-03-11,2022-03-11,0,565,3,64
65,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-03-12,2022-03-13,0,858,2,65
66,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-03-12,2022-03-13,14,559,4,66
67,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-03-14,2022-03-15,0,847,6,67
68,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-03-15,2022-03-17,0,992,2,68
69,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-03-15,2022-03-15,0,762,4,69
70,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-03-17,2022-03-18,0,486,1,70
71,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-03-18,2022-03-19,0,756,6,71
72,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-03-18,2022-03-18,0,896,7,72
73,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-03-20,2022-03-21,0,607,5,73
74,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-03-21,2022-03-21,0,542,1,74
75,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-03-21,2022-03-23,0,207,4,75
76,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-03-23,2022-03-23,0,968,1,76
77,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-03-24,2022-03-24,0,598,2,77
78,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-03-24,2022-03-24,0,323,5,78
79,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-03-26,2022-03-28,0,680,2,79
80,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-03-27,2022-03-29,0,109,1,80
81,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-03-27,2022-03-29,0,177,6,81
82,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-03-29,2022-03-29,0,423,4,82
83,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-03-30,2022-03-31,0,596,1,83
84,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-03-30,2022-03-31,0,703,3,84
85,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-04-01,2022-04-03,0,710,1,85
86,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-04-02,2022-04-03,0,150,2,86
87,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-04-02,2022-04-04,0,646,7,87
88,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-04-04,2022-04-06,0,251,5,88
89,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-04-05,2022-04-07,0,104,2,89
90,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-04-05,2022-04-05,0,517,6,90
91,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-04-07,2022-04-07,15,348,4,91
92,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-04-08,2022-04-10,0,353,7,92
93,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-04-08,2022-04-09,0,697,1,93
94,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-04-10,2022-04-12,0,575,2,94
95,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-04-11,2022-04-12,0,109,3,95
96,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-04-11,2022-04-11,0,785,7,96
97,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-04-13,2022-04-13,0,83,1,97
98,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-04-14,2022-04-16,0,21,2,98
99,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-04-14,2022-04-15,0,993,5,99
100,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-04-16,2022-04-18,0,341,2,100
101,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-04-17,2022-04-19,0,361,2,101
102,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-04-17,2022-04-17,0,772,5,102
103,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-04-19,2022-04-20,10,558,3,103
104,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-04-20,2022-04-21,0,805,4,104
105,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-04-20,2022-04-22,0,530,1,105
106,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-04-22,2022-04-22,0,583,2,106
107,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-04-23,2022-04-24,0,261,2,107
108,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-04-23,2022-04-23,0,699,4,108
109,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-04-25,2022-04-27,20,122,3,109
110,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-04-26,2022-04-26,0,870,1,110
111,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-04-26,2022-04-28,0,620,4,111
112,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-04-28,2022-04-29,6,875,1,112
113,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-04-29,2022-04-29,0,181,2,113
114,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-04-29,2022-04-30,0,131,7,114
115,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-05-01,2022-05-02,2,195,6,115
116,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-05-02,2022-05-02,0,574,1,116
117,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-05-02,2022-05-03,0,550,5,117
118,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-05-04,2022-05-04,6,574,2,118
119,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-05-05,2022-05-06,0,649,2,119
120,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-05-05,2022-05-06,10,243,4,120
121,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-05-07,2022-05-09,0,352,1,121
122,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-05-08,2022-05-09,0,82,6,122
123,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-05-08,2022-05-09,0,632,2,123
124,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-05-10,2022-05-11,0,836,4,124
125,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-05-11,2022-05-13,0,758,1,125
126,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-05-11,2022-05-13,0,370,7,126
127,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-05-13,2022-05-15,0,286,7,127
128,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-05-14,2022-05-15,0,885,2,128
129,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-05-14,2022-05-15,0,992,6,129
130,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-05-16,2022-05-18,0,165,3,130
131,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-05-17,2022-05-19,8,863,7,131
132,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-05-17,2022-05-19,0,334,2,132
133,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-05-19,2022-05-20,0,353,5,133
134,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-05-20,2022-05-22,0,725,1,134
135,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-05-20,2022-05-21,0,135,5,135
136,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-05-22,2022-05-22,0,847,1,136
137,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-05-23,2022-05-25,0,649,5,137
138,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-05-23,2022-05-25,0,576,3,138
139,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-05-25,2022-05-26,0,630,4,139
140,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-05-26,2022-05-28,0,161,1,140
141,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-05-26,2022-05-28,0,89,7,141
142,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-05-28,2022-05-30,0,641,7,142
143,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-05-29,2022-05-29,0,702,7,143
144,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-05-29,2022-05-29,0,478,2,144
145,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-05-31,2022-06-01,0,774,3,145
146,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-06-01,2022-06-01,3,790,6,146
147,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-06-01,2022-06-02,0,306,5,147
148,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-06-03,2022-06-05,11,641,5,148
149,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-06-04,2022-06-05,0,158,7,149
150,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-06-04,2022-06-04,0,844,1,150
151,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-06-06,2022-06-07,0,138,6,151
152,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-06-07,2022-06-07,0,323,6,152
153,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-06-07,2022-06-09,15,966,3,153
154,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-06-09,2022-06-11,0,356,6,154
155,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-06-10,2022-06-10,5,38,5,155
156,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-06-10,2022-06-12,0,232,6,156
157,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-06-12,2022-06-14,0,229,6,157
158,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-06-13,2022-06-15,0,621,2,158
159,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-06-13,2022-06-13,0,654,1,159
160,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-06-15,2022-06-17,5,245,2,160
161,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-06-16,2022-06-17,0,514,2,161
162,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-06-16,2022-06-17,0,950,6,162
163,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-06-18,2022-06-20,11,298,1,163
164,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-06-19,2022-06-19,0,418,3,164
165,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-06-19,2022-06-19,0,629,2,165
166,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-06-21,2022-06-21,0,443,5,166
167,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-06-22,2022-06-22,0,979,6,167
168,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-06-22,2022-06-24,0,173,1,168
169,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-06-24,2022-06-24,0,762,2,169
170,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-06-25,2022-06-27,0,897,7,170
171,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-06-25,2022-06-26,0,925,4,171
172,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-06-27,2022-06-28,0,522,3,172
173,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-06-28,2022-06-30,0,507,2,173
174,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-06-28,2022-06-29,0,775,3,174
175,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-06-30,2022-07-02,0,43,2,175
176,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-07-01,2022-07-01,0,527,2,176
177,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-07-01,2022-07-01,0,263,3,177
178,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-07-03,2022-07-04,0,303,7,178
179,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-07-04,2022-07-06,0,483,6,179
180,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-07-04,2022-07-06,0,134,6,180
181,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-07-06,2022-07-06,0,399,2,181
182,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-07-07,2022-07-09,0,799,6,182
183,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-07-07,2022-07-08,0,551,2,183
184,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-07-09,2022-07-09,0,895,5,184
185,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-07-10,2022-07-12,0,726,2,185
186,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-07-10,2022-07-12,0,143,6,186
187,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-07-12,2022-07-13,0,144,3,187
188,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-07-13,2022-07-14,0,97,5,188
