id_plan,descripcion,fecha_plan,empleado_asigna,id_criticidad
27,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-02-01,10,1
28,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-02-03,13,2
29,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-02-04,16,2
30,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-02-04,8,1
31,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-02-06,1,3
32,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-02-07,10,2
33,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-02-07,4,3
34,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-02-09,7,2
35,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-02-10,13,3
36,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-02-10,6,3
37,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-02-12,1,2
38,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-02-13,7,2
39,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-02-13,11,3
40,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-02-15,16,3
41,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-02-16,15,2
42,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-02-16,5,1
43,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-02-18,13,1
44,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-02-19,1,2
45,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-02-19,5,2
46,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-02-21,9,2
47,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-02-22,5,2
48,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-02-22,5,3
49,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-02-24,14,2
50,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-02-25,9,3
51,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-02-25,5,2
52,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-02-27,11,2
53,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-02-28,20,3
54,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-02-28,11,1
55,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-03-02,18,3
56,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-03-03,4,3
57,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-03-03,7,3
58,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-03-05,20,3
59,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-03-06,19,2
60,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-03-06,7,1
61,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-03-08,18,1
62,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-03-09,10,1
63,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-03-09,1,3
64,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-03-11,6,1
65,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-03-12,2,3
66,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-03-12,12,1
67,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-03-14,19,2
68,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-03-15,11,3
69,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-03-15,16,2
70,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-03-17,3,1
71,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-03-18,3,3
72,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-03-18,15,3
73,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-03-20,16,3
74,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-03-21,10,2
75,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-03-21,18,3
76,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-03-23,10,3
77,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-03-24,2,3
78,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-03-24,2,3
79,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-03-26,20,2
80,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-03-27,8,3
81,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-03-27,19,1
82,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-03-29,13,1
83,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-03-30,6,1
84,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-03-30,11,1
85,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-04-01,20,1
86,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-04-02,13,2
87,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-04-02,6,1
88,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-04-04,11,3
89,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-04-05,9,2
90,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-04-05,17,3
91,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-04-07,17,1
92,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-04-08,4,2
93,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-04-08,1,1
94,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-04-10,6,1
95,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-04-11,14,1
96,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-04-11,2,3
97,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-04-13,19,3
98,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-04-14,20,2
99,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-04-14,11,1
100,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-04-16,2,1
101,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-04-17,12,3
102,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-04-17,16,3
103,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-04-19,5,2
104,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-04-20,13,2
105,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-04-20,19,1
106,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-04-22,4,3
107,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-04-23,20,2
108,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-04-23,8,3
109,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-04-25,16,2
110,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-04-26,11,2
111,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-04-26,19,2
112,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-04-28,3,2
113,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-04-29,7,2
114,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-04-29,8,3
115,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-05-01,18,1
116,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-05-02,1,1
117,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-05-02,5,3
118,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-05-04,8,3
119,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-05-05,3,3
120,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-05-05,12,2
121,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-05-07,3,3
122,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-05-08,7,2
123,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-05-08,9,3
124,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-05-10,19,2
125,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-05-11,16,3
126,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-05-11,16,1
127,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-05-13,12,3
128,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-05-14,14,3
129,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-05-14,14,2
130,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-05-16,2,2
131,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-05-17,14,2
132,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-05-17,1,3
133,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-05-19,15,1
134,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-05-20,4,1
135,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-05-20,9,3
136,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-05-22,16,1
137,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-05-23,1,3
138,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-05-23,20,1
139,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-05-25,11,3
140,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-05-26,16,1
141,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-05-26,9,3
142,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-05-28,13,3
143,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-05-29,20,2
144,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-05-29,20,3
145,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-05-31,16,3
146,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-06-01,4,1
147,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-06-01,4,2
148,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-06-03,4,2
149,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-06-04,12,2
150,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-06-04,7,3
151,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-06-06,3,2
152,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-06-07,12,3
153,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-06-07,16,2
154,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-06-09,12,2
155,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-06-10,12,2
156,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-06-10,12,3
157,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-06-12,17,1
158,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-06-13,13,3
159,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-06-13,1,1
160,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-06-15,14,3
161,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-06-16,8,3
162,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-06-16,3,3
163,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-06-18,11,1
164,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-06-19,8,2
165,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-06-19,9,2
166,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-06-21,1,1
167,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-06-22,4,2
168,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-06-22,15,3
169,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-06-24,17,2
170,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-06-25,5,3
171,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-06-25,10,2
172,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-06-27,6,2
173,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-06-28,8,3
174,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-06-28,4,3
175,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-06-30,5,2
176,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-07-01,20,2
177,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-07-01,20,3
178,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-07-03,6,2
179,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-07-04,5,2
180,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-07-04,5,3
181,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-07-06,20,1
182,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-07-07,16,1
183,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-07-07,7,1
184,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-07-09,7,1
185,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-07-10,20,1
186,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-07-10,7,2
187,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-07-12,6,2
188,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-07-13,3,2
189,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-07-13,2,1
190,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-07-15,15,2
191,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-07-16,7,1
192,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-07-16,1,3
193,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-07-18,4,2
194,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-07-19,8,3
195,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-07-19,1,3
196,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-07-21,19,2
197,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-07-22,2,1
198,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-07-22,6,3
199,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-07-24,14,1
200,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-07-25,19,1
201,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-07-25,12,2
202,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-07-27,20,2
203,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-07-28,11,2
204,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-07-28,9,1
205,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-07-30,19,1
206,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-07-31,10,3
207,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-07-31,9,2
208,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-08-02,10,1
209,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-08-03,18,3
210,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-08-03,12,1
211,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-08-05,1,3
212,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-08-06,7,1
213,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-08-06,20,2
214,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-08-08,11,3
215,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-08-09,3,3
216,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-08-09,2,2
217,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-08-11,19,3
218,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-08-12,13,3
219,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-08-12,19,3
220,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-08-14,15,3
221,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-08-15,4,3
222,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-08-15,15,2
223,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-08-17,8,1
224,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-08-18,6,1
225,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-08-18,9,2
226,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-08-20,13,2
227,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-08-21,9,2
228,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-08-21,3,1
229,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-08-23,1,1
230,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-08-24,15,1
231,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-08-24,4,2
232,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-08-26,7,3
233,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-08-27,19,1
234,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-08-27,4,1
235,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-08-29,16,2
236,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-08-30,11,2
237,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-08-30,16,1
238,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-09-01,15,1
239,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-09-02,1,3
240,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-09-02,17,1
241,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-09-04,6,3
242,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-09-05,16,2
243,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-09-05,16,3
244,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-09-07,19,1
245,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-09-08,11,2
246,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-09-08,17,1
247,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-09-10,17,2
248,Ajuste de los tensores en los sistemas de transmision para evitar deslizamientos en las correas.,2022-09-11,19,2
249,Verificacion de los sellos en las bombas hidraulicas para evitar fugas.,2022-09-11,2,2
250,Inspeccion de los sistemas de lubricacion de los ejes y ajuste de los puntos de engrase.,2022-09-13,1,3
251,Reemplazo de las piezas desgastadas en las poleas de las maquinas transportadoras.,2022-09-14,14,3
252,Se realizara una lubricacion a los ejes moviles de la banda elastica para la maquina designada. La lubricacion debera realizarse con dos lubricantes uno para bordes internos y otro para externos.,2022-09-14,14,3
253,Inspeccion de los sistemas electricos de las maquinas en la linea de produccion. Se revisaran conexiones y el aislamiento de cables.,2022-09-16,12,2
254,Limpieza de los filtros de aire de los sistemas de ventilacion para asegurar flujo constante de aire en la maquinaria.,2022-09-17,5,2
255,Reemplazo de piezas desgastadas en la estructura de la cinta transportadora incluidas poleas y engranajes.,2022-09-17,14,2
256,Revision y ajuste de las conexiones hidraulicas en el sistema de elevacion de carga en la grua.,2022-09-19,8,2
257,Verificacion del sistema de refrigeracion y reemplazo de componentes defectuosos en las maquinas.,2022-09-20,4,1
258,Calibracion de los sensores de presion y temperatura en las maquinas de produccion.,2022-09-20,11,2
259,Lubricacion de los componentes internos de la prensa para evitar desgastes en zonas de alta friccion.,2022-09-22,11,1
260,Inspeccion de los rodillos en la cinta transportadora y ajuste de los soportes.,2022-09-23,2,2
261,Revision del sistema de respaldo electrico para comprobar que funcione en caso de corte de energia.,2022-09-23,19,1
