id_notificacion,Asunto,mensaje,fecha_notificacion,id_remitente,id_destinatario,Id_registro,Id_reporte,id_tipo
35,Problema con la suscripción al servicio,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,04/02/2024,35,30,863,,1
36,Fallo en la actualización de la aplicación,¿Qué opinas de la propuesta de colaboración que te presenté?,05/02/2024,102,273,768,,1
37,Problema con la reproducción del video,¿Qué te parece si nos reunimos para discutir los próximos pasos?,06/02/2024,171,189,679,,1
38,Problema con la reserva del vuelo,¿Qué te parece si nos reunimos para hablar de la estrategia?,07/02/2024,241,62,109,,1
39,Fallo en la descarga del archivo,¿Has completado la revisión de los documentos que te envié la semana pasada?,08/02/2024,295,48,952,,1
40,Problema con la reproducción del video,¿Podemos coordinar una llamada para analizar los datos del informe?,09/02/2024,208,185,517,,1
41,Fallo en la carga de la imagen,¿Podrías enviarme tus sugerencias para optimizar el proceso de producción?,10/02/2024,296,12,151,,1
42,Fallo en la descarga del archivo,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,11/02/2024,291,86,579,,1
43,Problema con la sincronización de calendario,¿Podrías enviarme tus comentarios sobre el borrador del informe?,12/02/2024,169,175,726,,1
44,Error al enviar el mensaje,¿Podemos programar una reunión para revisar el plan de formación del equipo?,13/02/2024,17,173,933,,1
45,Fallo en la sincronización de correos,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,14/02/2024,115,31,80,,1
46,Problema con la contraseña,¿Has recibido la confirmación de la reunión que programamos para mañana?,15/02/2024,268,232,953,,1
47,Fallo en la sincronización de correos,¿Podemos programar una reunión para analizar los resultados de la encuesta?,16/02/2024,191,194,591,,1
48,Fallo en la actualización del software,¿Podrías enviarme tus comentarios sobre el plan de marketing que elaboramos?,17/02/2024,290,141,554,,1
49,Fallo en la descarga del archivo,¿Puedes enviarme los datos actualizados para el informe mensual?,18/02/2024,260,191,407,,1
50,Fallo en la sincronización de correos,¿Has completado la revisión de los documentos que te envié la semana pasada?,19/02/2024,221,239,705,,1
51,Fallo en la actualización del software,¿Qué opinas de la estrategia que estamos siguiendo?,20/02/2024,75,295,273,,1
52,Problema con la configuración de la cuenta,¿Qué te parece si nos reunimos para discutir las estrategias de comunicación?,21/02/2024,63,1,97,,1
53,Error en la traducción del texto,¿Podemos programar una reunión para evaluar el desempeño del equipo?,22/02/2024,41,34,300,,1
54,Fallo en la carga de la imagen,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,23/02/2024,85,284,988,,1
55,Problema con la conexión a internet,confirma si estás de acuerdo con el enfoque que propuse,24/02/2024,203,144,228,,1
56,Problema con la entrega del pedido,¿Has revisado el informe de progreso que te envié por correo?,25/02/2024,164,199,440,,1
57,Problema con la entrega del pedido,confirma si estás de acuerdo con la fecha y hora de la reunión,26/02/2024,90,121,61,,1
58,Problema con la conexión a internet,¿Podemos discutir los cambios que sugieres en el documento?,27/02/2024,245,201,138,,1
59,Error en la reserva del hotel,¿Has recibido mis correos sobre el proyecto?,28/02/2024,96,152,159,,1
60,Fallo en la sincronización de correos,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,29/02/2024,286,88,969,,1
61,Error en la reserva del hotel,¿Has enviado la información solicitada para la auditoría que estamos preparando?,01/03/2024,99,108,139,,1
62,Error en la página web,¿Podemos programar una reunión para revisar el calendario de actividades?,02/03/2024,249,117,535,,1
63,Problema con la conexión a internet,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,03/03/2024,160,59,298,,1
64,Problema con la entrega del pedido,¿Has completado la revisión de los documentos que te envié la semana pasada?,04/03/2024,72,135,941,,1
65,Error al enviar el mensaje,¿Qué opinas de la idea que propuse en la última reunión?,05/03/2024,99,3,11,,1
66,Problema con la suscripción al servicio,¿Qué te parece si nos reunimos para discutir las estrategias de comunicación?,06/03/2024,251,23,953,,1
67,Problema con la conexión a internet,confirma si puedes asistir a la reunión de mañana,07/03/2024,291,297,715,,1
68,Problema con la reserva del vuelo,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,08/03/2024,295,131,773,,1
69,Fallo en la copia de seguridad,Por favor,09/03/2024,30,256,813,,1
70,Problema con la conexión a internet,¿Has recibido la información que te envié por correo?,10/03/2024,11,241,803,,1
71,Problema con la reproducción del video,¿Podemos programar una reunión para analizar los resultados de la encuesta?,11/03/2024,237,207,190,,1
72,Fallo en la carga de la imagen,¿Qué te parece si nos reunimos para discutir las estrategias de comunicación?,12/03/2024,274,218,557,,1
73,Fallo en la carga de la página,Por favor,13/03/2024,163,238,730,,1
74,Error en la reserva del hotel,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,14/03/2024,285,298,192,,1
75,Error al enviar el mensaje,¿Podemos coordinar una llamada para discutir el presupuesto?,15/03/2024,49,262,414,,1
76,Error en la reserva del hotel,¿Podemos coordinar una llamada para analizar los datos del informe?,16/03/2024,133,103,924,,1
77,Fallo en la carga de la imagen,¿Podemos programar una reunión para analizar los resultados de la encuesta?,17/03/2024,257,189,368,,1
78,Fallo en la copia de seguridad,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,18/03/2024,43,197,4,,1
79,Problema con la visualización del contenido,Necesito tu opinión sobre la propuesta que estoy preparando,19/03/2024,228,231,321,,1
80,Fallo en la copia de seguridad,¿Has recibido la información que te envié por correo?,20/03/2024,223,205,100,,1
81,Problema con la reproducción del video,¿Has recibido la información que te envié por correo?,21/03/2024,225,106,286,,1
82,Problema con la visualización del contenido,confirma si estás de acuerdo con la fecha y hora de la reunión,22/03/2024,1,21,706,,1
83,Problema con la suscripción al servicio,¿Qué opinas de la estrategia que estamos siguiendo?,23/03/2024,177,83,144,,1
84,Problema con la visualización del contenido,¿Podemos reunirnos para hablar de los objetivos del trimestre?,24/03/2024,115,47,435,,1
85,Error al guardar los cambios,¿Podemos programar una reunión para revisar el plan de formación del equipo?,25/03/2024,252,217,111,,1
86,Error en la traducción del texto,confirma si estás de acuerdo con la fecha y hora de la reunión,26/03/2024,53,226,759,,1
87,Problema con la suscripción al servicio,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,27/03/2024,82,245,836,,1
88,Fallo en la sincronización de datos,confirma si estás de acuerdo con la fecha y hora de la reunión,28/03/2024,247,149,678,,1
89,Error al procesar el pago,¿Podemos reunirnos para hablar de los objetivos del trimestre?,29/03/2024,84,268,415,,1
90,Error en la página web,¿Has recibido la información que te envié por correo?,30/03/2024,203,69,780,,1
91,Error en la dirección de envío,confirma si puedes asistir a la reunión de presentación de resultados,31/03/2024,184,300,428,,1
92,Error en la dirección de envío,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,01/04/2024,275,153,389,,1
93,Fallo en la actualización del software,¿Podemos programar una llamada para aclarar dudas sobre el proyecto?,02/04/2024,89,219,643,,1
94,Problema con la reproducción del video,Por favor,03/04/2024,209,147,779,,1
95,Error en la instalación del programa,¿Qué te parece si nos reunimos para hablar de la estrategia?,04/04/2024,144,145,353,,1
96,Problema con la impresión del documento,confirma si estás de acuerdo con el enfoque que propuse,05/04/2024,4,140,832,,1
97,Error al procesar el pago,¿Qué te parece si nos reunimos para hablar de la estrategia?,06/04/2024,260,272,442,,1
98,Error en la dirección de envío,Por favor,07/04/2024,201,104,972,,1
99,Error al enviar el mensaje,Por favor,08/04/2024,233,205,86,,1
100,Error al abrir el archivo adjunto,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,09/04/2024,190,217,88,,1
101,Fallo en la copia de seguridad,¿Has enviado la documentación necesaria para el proyecto que estamos gestionando?,10/04/2024,89,209,756,,1
102,Error al guardar los cambios,¿Qué opinas de la propuesta de expansión que te presenté la semana pasada?,11/04/2024,111,200,33,,1
103,Error en la traducción del texto,¿Has completado la tarea que te asigné la semana pasada?,12/04/2024,163,204,188,,1
104,Error en la reserva del hotel,¿Qué opinas de la idea que propuse en la última reunión?,13/04/2024,29,13,398,,1
105,Fallo en la actualización de la aplicación,¿Qué te parece si nos reunimos para discutir los próximos pasos?,14/04/2024,219,297,979,,1
106,Fallo en la carga de la imagen,¿Has recibido la confirmación de la reunión que programamos para mañana?,15/04/2024,113,1,336,,1
107,Fallo en la sincronización de correos,confirma si estás de acuerdo con el enfoque que propuse,16/04/2024,248,168,349,,1
108,Error en la reserva del hotel,Por favor,17/04/2024,2,41,942,,1
109,Fallo en la carga de la imagen,¿Podemos coordinar una llamada para resolver las dudas pendientes?,18/04/2024,129,136,241,,1
110,Fallo en la sincronización de correos,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,19/04/2024,247,259,314,,1
111,Error en la dirección de envío,Por favor,20/04/2024,257,82,860,,1
112,Fallo en la carga de la página,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,21/04/2024,71,97,129,,1
113,Fallo en la sincronización de correos,¿Qué opinas de la propuesta de colaboración que te presenté?,22/04/2024,159,25,273,,1
114,Error al enviar el mensaje,¿Qué opinas de la idea que propuse en la última reunión?,23/04/2024,98,300,232,,1
115,Fallo en la actualización de la aplicación,confirma si estás de acuerdo con el plan de acción propuesto,24/04/2024,157,196,526,,1
116,Problema con la contraseña,¿Podemos programar una reunión para revisar el plan de formación del equipo?,25/04/2024,105,194,841,,1
117,Problema con la contraseña,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,26/04/2024,185,300,914,,1
118,Problema con la entrega del pedido,confirma si puedes asistir a la reunión de presentación de resultados,27/04/2024,149,279,624,,1
119,Fallo en la actualización de la aplicación,confirma si estás de acuerdo con la fecha y hora de la reunión,28/04/2024,114,37,480,,1
120,Problema con la configuración de la cuenta,¿Podrías enviarme tus sugerencias para mejorar el proceso de trabajo?,29/04/2024,252,1,124,,1
121,Problema con la reserva del vuelo,Por favor,30/04/2024,27,272,115,,1
122,Problema con la entrega del pedido,¿Has recibido la confirmación de la reunión que programamos para mañana?,01/05/2024,218,109,389,,1
123,Fallo en la carga de la página,¿Has revisado la presentación que preparé para la reunión de mañana?,02/05/2024,168,245,395,,1
124,Error al procesar el pago,¿Has enviado la información solicitada al cliente?,03/05/2024,144,95,399,,1
125,Error al abrir el archivo adjunto,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,04/05/2024,20,223,286,,1
126,Fallo en la actualización de la aplicación,confirma si estás de acuerdo con la fecha y hora de la reunión,05/05/2024,282,233,260,,1
127,Error en la página web,¿Qué te parece si nos reunimos para discutir los próximos pasos?,06/05/2024,133,198,975,,1
128,Problema con la sincronización de calendario,confirma si puedes asistir a la reunión de presentación de resultados,07/05/2024,289,177,27,,1
129,Problema con la entrega del pedido,Por favor,08/05/2024,100,1,501,,1
130,Error en la instalación del programa,Por favor,09/05/2024,86,75,197,,1
131,Problema con la contraseña,¿Qué te parece si nos reunimos para discutir los próximos pasos?,10/05/2024,124,190,904,,1
132,Problema con la sincronización de calendario,¿Qué opinas de la idea que propuse en la última reunión?,11/05/2024,146,168,,37,1
133,Error al procesar el pago,¿Has completado la revisión de los documentos que te envié la semana pasada?,12/05/2024,62,137,,8,1
134,Fallo en la sincronización de datos,confirma si puedes asistir a la reunión de presentación de resultados,13/05/2024,253,242,,54,1
135,Error en la página web,¿Qué opinas de la propuesta de mejora que discutimos en la última reunión?,14/05/2024,82,73,,66,1
136,Fallo en la descarga del archivo,Por favor,15/05/2024,266,238,,56,1
137,Fallo en la carga de la página,¿Has revisado la presentación que preparé para la reunión de mañana?,16/05/2024,9,12,,47,1
138,Problema con la suscripción al servicio,¿Podrías enviarme tus comentarios sobre el plan de marketing que elaboramos?,17/05/2024,238,233,,34,1
139,Error al procesar el pago,¿Podemos discutir los detalles del proyecto mañana?,18/05/2024,11,55,,68,1
140,Problema con la sincronización de calendario,¿Qué opinas de la propuesta de colaboración que te presenté?,19/05/2024,291,164,,34,1
141,Fallo en la sincronización de datos,Por favor,20/05/2024,232,208,,67,1
142,Fallo en la actualización del software,¿Podemos coordinar una llamada para discutir los cambios en el plan de negocio?,21/05/2024,17,153,,43,1
143,Error al guardar los cambios,¿Podrías enviarme tus sugerencias para mejorar el proceso de trabajo?,22/05/2024,158,273,,81,1
144,Error en la reserva del hotel,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,23/05/2024,187,110,,90,1
145,Problema con la sincronización de calendario,¿Podemos programar una reunión para revisar el plan de formación del equipo?,24/05/2024,41,239,,41,1
146,Fallo en la sincronización de correos,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,25/05/2024,90,216,,3,1
147,Problema con la reproducción del video,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,26/05/2024,144,24,,63,1
148,Fallo en la carga de la página,¿Has revisado el informe de progreso que te envié por correo?,27/05/2024,287,141,,23,1
149,Error en la facturación,¿Qué opinas de la estrategia que estamos siguiendo?,28/05/2024,69,287,,63,1
150,Error en la instalación del programa,confirma si puedes asistir a la reunión de mañana,29/05/2024,28,157,,1,1
151,Error en la dirección de envío,¿Podemos programar una llamada para aclarar dudas sobre el proyecto?,30/05/2024,105,9,,83,1
152,Error al guardar los cambios,¿Podrías enviarme tus sugerencias para optimizar el proceso de producción?,31/05/2024,218,271,,21,1
153,Problema con la reserva del vuelo,¿Podemos coordinar una llamada para discutir los cambios en el plan de negocio?,01/06/2024,222,149,,70,1
154,Error al guardar los cambios,confirma si puedes asistir a la reunión de presentación de resultados,02/06/2024,66,80,,30,1
155,Problema con la entrega del pedido,¿Qué opinas de la estrategia de marketing que estamos implementando?,03/06/2024,232,179,,71,1
156,Error en la instalación del programa,¿Podrías revisar la presentación antes de la reunión?,04/06/2024,177,143,,98,1
157,Error en la dirección de envío,¿Podemos coordinar una llamada para analizar los datos del informe?,05/06/2024,194,108,,18,1
158,Error en la edición de la hoja de cálculo,¿Podemos discutir los cambios que sugieres en el documento?,06/06/2024,95,196,,30,1
159,Error en la traducción del texto,¿Qué te parece si nos reunimos para planificar la estrategia de lanzamiento?,07/06/2024,193,69,,96,1
160,Problema con la entrega del pedido,¿Qué te parece si nos reunimos para discutir los resultados del estudio?,08/06/2024,191,299,,48,1
161,Problema con la impresión del documento,¿Podemos discutir los detalles del proyecto mañana?,09/06/2024,114,221,,27,1
162,Problema con la configuración de la cuenta,¿Podrías revisar la presentación antes de la reunión?,10/06/2024,43,261,,15,1
163,Fallo en la carga de la imagen,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,11/06/2024,128,160,,85,1
164,Error al abrir el archivo adjunto,¿Puedes enviarme los datos actualizados para el informe mensual?,12/06/2024,213,168,,70,1
165,Fallo en la sincronización de correos,¿Podrías enviarme los detalles del evento que estamos organizando?,13/06/2024,140,282,,28,1
166,Error en la instalación del programa,¿Qué te parece si nos reunimos para planificar la estrategia de lanzamiento?,14/06/2024,29,223,,98,1
167,Error en la página web,¿Podemos programar una reunión para revisar el plan de formación del equipo?,15/06/2024,203,19,,18,1
168,Problema con la entrega del pedido,¿Podemos programar una llamada para aclarar dudas sobre el proyecto?,16/06/2024,168,185,,40,1
169,Fallo en la descarga del archivo,confirma si puedes asistir a la reunión de mañana,17/06/2024,283,45,,24,1
170,Problema con la configuración de la cuenta,¿Podemos programar una reunión para revisar el calendario de actividades?,18/06/2024,25,19,,56,1
171,Problema con la visualización del contenido,¿Has completado la revisión de los documentos que te envié la semana pasada?,19/06/2024,95,75,,74,1
172,Problema con la conexión a internet,¿Qué opinas de la propuesta de colaboración que te presenté?,20/06/2024,289,238,,82,1
173,Problema con la reserva del vuelo,¿Has completado la revisión de los documentos que te envié la semana pasada?,21/06/2024,163,50,,9,1
174,Problema con la reserva del vuelo,Por favor,22/06/2024,238,131,,45,1
175,Error en la reserva del hotel,¿Qué te parece si revisamos juntos el plan de acción?,23/06/2024,18,252,,31,1
176,Error al abrir el archivo adjunto,¿Has recibido la información que te envié por correo?,24/06/2024,126,261,,53,1
177,Problema con la sincronización de calendario,confirma si puedes asistir a la reunión de mañana,25/06/2024,243,40,,5,1
178,Problema con la contraseña,¿Podemos discutir los detalles del proyecto mañana?,26/06/2024,119,300,,80,1
179,Problema con la conexión a internet,¿Podemos discutir los detalles del proyecto mañana?,27/06/2024,52,30,,6,1
180,Error al guardar los cambios,¿Qué te parece si nos reunimos para discutir los resultados del estudio?,28/06/2024,287,286,,57,1
181,Error al abrir el archivo adjunto,¿Podrías enviarme los detalles del evento que estamos organizando?,29/06/2024,64,88,,5,1
182,Fallo en la carga de la imagen,¿Podrías enviarme tus comentarios sobre el borrador del informe?,30/06/2024,128,222,,33,1
183,Problema con la contraseña,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,01/07/2024,84,204,,14,1
184,Fallo en la actualización del software,¿Has completado la revisión de los documentos que te envié la semana pasada?,02/07/2024,253,107,,43,1
185,Problema con la suscripción al servicio,¿Has revisado el informe de progreso que te envié por correo?,03/07/2024,183,1,,22,1
186,Fallo en la actualización de la aplicación,¿Has revisado el informe de progreso que te envié por correo?,04/07/2024,292,133,,97,1
187,Problema con la reproducción del video,¿Qué te parece si revisamos juntos el plan de acción?,05/07/2024,108,81,,34,1
188,Problema con la reserva del vuelo,¿Has recibido la confirmación de la reserva para la conferencia que vamos a asistir?,06/07/2024,127,33,,18,1
189,Fallo en la descarga del archivo,¿Has revisado la presentación que preparé para la reunión de mañana?,07/07/2024,105,134,,100,1
190,Problema con la reproducción del video,¿Has revisado la presentación que preparé para la reunión de mañana?,08/07/2024,163,150,,83,1
191,Fallo en la carga de la imagen,¿Podemos programar una reunión para revisar los resultados del proyecto?,09/07/2024,284,247,,23,1
192,Fallo en la descarga del archivo,¿Qué opinas de la estrategia de marketing que estamos implementando?,10/07/2024,149,292,,89,1
193,Problema con la sincronización de calendario,confirma si estás de acuerdo con la fecha y hora de la reunión,11/07/2024,2,63,,24,1
194,Error al enviar el mensaje,confirma si estás de acuerdo con la fecha y hora de la reunión,12/07/2024,187,24,,66,1
195,Fallo en la sincronización de correos,¿Qué opinas de la propuesta de mejora que discutimos en la última reunión?,13/07/2024,297,23,,47,1
196,Problema con la contraseña,¿Podemos discutir los cambios que sugieres en el documento?,14/07/2024,287,50,,83,1
197,Fallo en la sincronización de correos,¿Qué te parece si nos reunimos para discutir las estrategias de comunicación?,15/07/2024,279,131,,47,1
198,Fallo en la actualización del software,¿Has terminado el informe que te pedí?,16/07/2024,46,114,,9,1
199,Fallo en la descarga del archivo,¿Podemos discutir los detalles del proyecto mañana?,17/07/2024,52,110,,72,1
200,Fallo en la sincronización de correos,Por favor,18/07/2024,23,178,,88,1
201,Fallo en la actualización del software,confirma si estás de acuerdo con el plan de acción propuesto,19/07/2024,67,252,,49,1
202,Problema con la configuración de la cuenta,¿Podemos programar una reunión para analizar los resultados de la encuesta?,20/07/2024,115,276,,73,1
203,Error en la traducción del texto,¿Podrías enviarme tus comentarios sobre el borrador del informe?,21/07/2024,114,10,,47,1
204,Fallo en la carga de la imagen,confirma tu disponibilidad para la llamada de seguimiento,22/07/2024,167,4,,64,1
205,Problema con la conexión a internet,confirma si estás de acuerdo con el plan de acción propuesto,23/07/2024,154,116,,89,1
206,Problema con la entrega del pedido,¿Podemos discutir los cambios que sugieres en el documento?,24/07/2024,72,215,,88,1
207,Problema con la entrega del pedido,¿Podrías enviarme tus comentarios sobre el plan de marketing que elaboramos?,25/07/2024,292,238,,70,1
208,Problema con la conexión a internet,¿Podemos programar una reunión para analizar los resultados de la encuesta?,26/07/2024,58,261,,69,1
209,Error en la reserva del hotel,¿Podemos programar una reunión para revisar el calendario de actividades?,27/07/2024,191,153,,66,1
210,Fallo en la sincronización de correos,¿Qué te parece si nos reunimos para discutir los resultados del estudio?,28/07/2024,119,29,,11,1
211,Error en la reserva del hotel,¿Podemos discutir los detalles del proyecto mañana?,29/07/2024,91,25,,87,1
212,Error en la página web,¿Podemos coordinar una llamada para analizar los datos del informe?,30/07/2024,2,200,,58,1
213,Problema con la conexión a internet,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,31/07/2024,68,132,,29,1
214,Problema con la entrega del pedido,¿Qué opinas de la propuesta de mejora que discutimos en la última reunión?,01/08/2024,151,188,,28,1
215,Error al enviar el mensaje,¿Qué te parece si nos reunimos para planificar la estrategia de lanzamiento?,02/08/2024,106,49,,5,1
216,Problema con la suscripción al servicio,¿Has enviado la información solicitada para la auditoría que estamos preparando?,03/08/2024,73,97,,48,1
217,Problema con la conexión a internet,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,04/08/2024,179,238,,11,1
218,Problema con la reserva del vuelo,¿Qué opinas de la propuesta de colaboración que te presenté?,05/08/2024,258,299,,7,1
219,Fallo en la copia de seguridad,¿Qué te parece si nos reunimos para discutir los próximos pasos?,06/08/2024,222,63,,5,1
220,Problema con la conexión a internet,¿Qué te parece si nos reunimos para hablar de la estrategia?,07/08/2024,154,1,,19,1
221,Problema con la reproducción del video,¿Has completado la revisión de los documentos que te envié la semana pasada?,08/08/2024,241,91,,2,1
222,Fallo en la carga de la imagen,¿Podemos coordinar una llamada para analizar los datos del informe?,09/08/2024,206,293,,43,1
223,Fallo en la carga de la página,¿Podrías enviarme tus sugerencias para optimizar el proceso de producción?,10/08/2024,51,112,,8,1
224,Error en la reserva del hotel,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,11/08/2024,278,102,,48,1
225,Error al enviar el mensaje,¿Podrías enviarme tus comentarios sobre el borrador del informe?,12/08/2024,267,41,,95,1
226,Error en la reserva del hotel,¿Podemos programar una reunión para revisar el plan de formación del equipo?,13/08/2024,216,187,,6,1
227,Fallo en la carga de la imagen,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,14/08/2024,236,111,,52,1
228,Fallo en la copia de seguridad,¿Has recibido la confirmación de la reunión que programamos para mañana?,15/08/2024,59,163,,28,1
229,Problema con la visualización del contenido,¿Podemos programar una reunión para analizar los resultados de la encuesta?,16/08/2024,191,130,,86,1
230,Fallo en la copia de seguridad,¿Podrías enviarme tus comentarios sobre el plan de marketing que elaboramos?,17/08/2024,3,282,,21,1
231,Problema con la reproducción del video,¿Puedes enviarme los datos actualizados para el informe mensual?,18/08/2024,136,99,,90,1
232,Problema con la visualización del contenido,¿Has completado la revisión de los documentos que te envié la semana pasada?,19/08/2024,259,3,,70,1
233,Problema con la suscripción al servicio,¿Qué opinas de la estrategia que estamos siguiendo?,20/08/2024,287,47,,88,1
234,Problema con la visualización del contenido,¿Qué te parece si nos reunimos para discutir las estrategias de comunicación?,21/08/2024,48,27,,98,1
235,Error al guardar los cambios,¿Podemos programar una reunión para evaluar el desempeño del equipo?,22/08/2024,32,102,,84,1
236,Error en la traducción del texto,¿Podrías enviarme tus comentarios sobre el informe de sostenibilidad que elaboramos?,23/08/2024,177,8,,19,1
237,Problema con la suscripción al servicio,confirma si estás de acuerdo con el enfoque que propuse,24/08/2024,110,144,,74,1
238,Fallo en la sincronización de datos,¿Has revisado el informe de progreso que te envié por correo?,25/08/2024,285,108,,43,1
239,Error al procesar el pago,confirma si estás de acuerdo con la fecha y hora de la reunión,26/08/2024,224,83,,20,1
240,Error en la página web,¿Podemos discutir los cambios que sugieres en el documento?,27/08/2024,95,200,,70,1
241,Error en la dirección de envío,¿Has recibido mis correos sobre el proyecto?,28/08/2024,93,245,,35,1
242,Error en la dirección de envío,¿Qué te parece si nos reunimos para discutir las estrategias de fidelización?,29/08/2024,152,84,,24,1
243,Fallo en la actualización del software,¿Has enviado la información solicitada para la auditoría que estamos preparando?,30/08/2024,144,229,,1,1
244,Problema con la reproducción del video,¿Podemos programar una reunión para revisar el calendario de actividades?,31/08/2024,82,271,,91,1
245,Error en la instalación del programa,¿Podemos coordinar una llamada para revisar los detalles logísticos del evento virtual?,01/09/2024,166,271,,26,1
